Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Parwana village,Al-Muqdadiya,Diyala,33.9913,44.8715,0.413,0,13.6,380,13-Apr-17,Diyala
Shak Al Rak Village,Al-Muqdadiya,Diyala,34.00157426,44.93505739,0.396,0.058,12,685,13-Apr-17,Diyala
Al Shamamla Village,Al-Muqdadiya,Diyala,34.03534645,44.97378855,0.393,0,24,22,13-Apr-17,Diyala
Shamarkhi village,Al-Muqdadiya,Diyala,34.03704,44.92911,0.392,0.107,34.3,42,13-Apr-17,Diyala
Shok Al Reem village,Al-Muqdadiya,Diyala,34.00320627,44.9808972,0.387,0,29.1,219,13-Apr-17,Diyala
Sinsil Al Wasat Village,Al-Muqdadiya,Diyala,34.02089017,44.93232114,0.381,0,41.9,49,13-Apr-17,Diyala
Skheyr village,Al-Muqdadiya,Diyala,34.023759,44.99619645,0.371,0.053,18.1,140,13-Apr-17,Diyala
Sodoor Al Ray,Al-Muqdadiya,Diyala,34.05993,44.98192,0.37,0,22.6,60,13-Apr-17,Diyala
Walosh1 village,Al-Muqdadiya,Diyala,33.99009643,44.93622061,0.369,0,9.7,45,13-Apr-17,Diyala
Walosh2 village,Al-Muqdadiya,Diyala,33.99242081,44.93585745,0.367,0,29.1,50,13-Apr-17,Diyala
Al Isaiwed Village,Al-Muqdadiya,Diyala,34.052564,44.931249,0.364,0,29.1,301,13-Apr-17,Diyala
Al Jazera Al Ola Village,Al-Muqdadiya,Diyala,33.9988744,44.9411142,0.355,0.088,22.6,30,13-Apr-17,Diyala
Al Jazera Al Thanya village,Al-Muqdadiya,Diyala,34.00220592,44.94131547,0.35,0.218,26.4,27,13-Apr-17,Diyala
Arab Dhaher Village,Al-Muqdadiya,Diyala,34.03113891,44.94605364,0.347,0,10.5,25,13-Apr-17,Diyala
Al Bayat Village,Al-Muqdadiya,Diyala,34.00834,44.894758,0.342,0.119,34.3,42,13-Apr-17,Diyala
Al Mahata Village,Al-Muqdadiya,Diyala,33.9901,44.9186,0.338,0,10.5,112,13-Apr-17,Diyala
Imam Abbas Village,Al-Muqdadiya,Diyala,34.0114,44.9595,0.33,0,29.1,81,13-Apr-17,Diyala
Bablaan Village,Al-Muqdadiya,Diyala,33.98934,44.97459,0.323,0,9.7,31,13-Apr-17,Diyala
Al Husaini Village,Khanaqin,Diyala,34.31110687,45.16255235,0.322,0.208,25.7,120,13-Apr-17,Diyala
Al Israa Qtr,Khanaqin,Diyala,34.18836241,45.11896286,0.308,0,13.6,280,13-Apr-17,Diyala
Al Rabe Al Olaa Qtr,Khanaqin,Diyala,34.19253457,45.12486915,0.301,0,10.6,200,13-Apr-17,Diyala
Al Asree Qtr,Khanaqin,Diyala,34.16160834,45.13466074,0.292,0,13.3,140,13-Apr-17,Diyala
Al Taleaa Qtr,Khanaqin,Diyala,34.27669888,45.16275235,0.288,0,9.7,1650,13-Apr-17,Diyala
Said Ahmed Village,Khanaqin,Diyala,34.2988418,45.17467038,0.285,0,29.6,45,13-Apr-17,Diyala
Said Jabar Village,Khanaqin,Diyala,34.29720756,45.17125328,0.275,0.058,12,40,13-Apr-17,Diyala
Al Shaheed Qtr(Al Zohor),Khanaqin,Diyala,34.18238859,45.118946,0.269,0.29,23.6,316,13-Apr-17,Diyala
17Tamooz Qtr,Khanaqin,Diyala,34.18558418,45.12080844,0.263,0,10.6,340,13-Apr-17,Diyala
Alkhadra Qtr,Khanaqin,Diyala,34.28849922,45.16083719,0.263,0,10.5,1404,13-Apr-17,Diyala
Al Oroba Qtr,Khanaqin,Diyala,34.27135891,45.16460943,0.254,0.048,23.6,1530,13-Apr-17,Diyala
Al Rabe Al Thaniya Qtr,Khanaqin,Diyala,34.197619,45.126844,0.25,0.233,37.8,190,13-Apr-17,Diyala
Al Rabe Al Thaletha Qtr,Khanaqin,Diyala,34.19965,45.126589,0.247,0.345,27.3,180,13-Apr-17,Diyala
Al Taakhi Qtr,Khanaqin,Diyala,34.1989364,45.13089438,0.242,0.151,12.1,60,13-Apr-17,Diyala
Saad Qtr,Khanaqin,Diyala,34.18959937,45.11666938,0.242,0.053,18.1,65,13-Apr-17,Diyala
Al Salaam Qtr,Khanaqin,Diyala,34.17752383,45.12127834,0.226,0,12,150,13-Apr-17,Diyala
Al Taleaa 2 Qtr,Khanaqin,Diyala,34.27881447,45.16214863,0.216,0,10.6,300,13-Apr-17,Diyala
